"GridNo","Yutm","Xutm","elev_ft_NG","StgJan05","Area","Distr_Pixel"
1,2951000,562200,15.319,16.186,160000,2
2,2951000,562600,15.197,16.186,160000,2
3,2951000,563000,15.124,16.186,160000,2
4,2950600,561800,15.368,16.19093513,160000,2
5,2950600,562200,15.362,16.19168472,160000,2
6,2950600,562600,15.309,16.1924057,160000,2
7,2950600,563000,15.228,16.19326591,160000,2
8,2950600,563400,15.252,16.19457245,160000,3
9,2950200,561400,16.217,16.19668961,160000,1
10,2950200,561800,15.649,16.19731331,160000,2
11,2950200,562200,15.491,16.19819832,160000,2
12,2950200,562600,15.358,16.19902039,160000,2
13,2950200,563000,15.365,16.19997025,160000,2
14,2950200,563400,15.36,16.20136452,160000,3
15,2949800,561400,16.069,16.20462036,160000,1
16,2949800,561800,15.823,16.20538902,160000,2
17,2949800,562200,15.578,16.20645142,160000,2
18,2949800,562600,15.379,16.20740509,160000,2
19,2949800,563000,15.401,16.20846558,160000,2
20,2949800,563400,15.366,16.20996666,160000,3
21,2949800,563800,15.391,16.21131897,160000,3
22,2949400,561000,16.389,16.2102108,160000,4
23,2949400,561400,15.821,16.21102905,160000,4
24,2949400,561800,15.932,16.21191788,160000,5
25,2949400,562200,15.7,16.21312904,160000,5
26,2949400,562600,15.607,16.21418953,160000,5
27,2949400,563000,15.521,16.21534157,160000,5
28,2949400,563400,15.433,16.21692467,160000,6
29,2949400,563800,15.383,16.21831703,160000,6
30,2949000,560600,16.286,16.21568108,160000,4
31,2949000,561000,15.996,16.2165451,160000,4
32,2949000,561400,15.844,16.21748161,160000,4
33,2949000,561800,15.815,16.21849442,160000,5
34,2949000,562200,15.752,16.21985817,160000,5
35,2949000,562600,15.641,16.22102737,160000,5
36,2949000,563000,15.617,16.22226906,160000,5
37,2949000,563400,15.508,16.22393417,160000,6
38,2949000,563800,15.403,16.22536278,160000,6
39,2949000,564200,15.759,16.22687912,160000,6
40,2948600,560600,15.92,16.22192574,160000,4
41,2948600,561000,15.932,16.22290421,160000,4
42,2948600,561400,15.875,16.22396469,160000,4
43,2948600,561800,15.913,16.22510719,160000,5
44,2948600,562200,15.787,16.22662544,160000,5
45,2948600,562600,15.776,16.22790337,160000,5
46,2948600,563000,15.657,16.2292366,160000,5
47,2948600,563400,15.485,16.23097992,160000,6
48,2948600,563800,15.314,16.23243904,160000,6
49,2948600,564200,15.35,16.23396492,160000,6
50,2948200,560200,15.962,16.22833443,160000,4
51,2948200,560600,15.819,16.22974205,160000,4
52,2948200,561000,15.754,16.2308712,160000,4
53,2948200,561400,15.84,16.2320919,160000,4
54,2948200,561800,15.889,16.23339653,160000,5
55,2948200,562200,15.833,16.23510933,160000,5
56,2948200,562600,15.789,16.23652458,160000,5
57,2948200,563000,15.712,16.23797035,160000,5
58,2948200,563400,15.574,16.23980904,160000,6
59,2948200,563800,15.463,16.2413063,160000,6
60,2948200,564200,15.316,16.24283409,160000,6
61,2948200,564600,16.163,16.24440384,160000,6
62,2947800,559800,16.129,16.2331562,160000,4
63,2947800,560200,15.68,16.23441887,160000,4
64,2947800,560600,15.636,16.2359848,160000,4
65,2947800,561000,15.667,16.23723793,160000,4
66,2947800,561400,15.806,16.23858833,160000,4
67,2947800,561800,15.871,16.24002647,160000,5
68,2947800,562200,15.88,16.24189758,160000,5
69,2947800,562600,15.875,16.24342155,160000,5
70,2947800,563000,15.794,16.24495506,160000,5
71,2947800,563400,15.692,16.24687004,160000,6
72,2947800,563800,15.557,16.24839401,160000,6
73,2947800,564200,15.378,16.24991989,160000,6
74,2947800,564600,15.344,16.25146103,160000,6
75,2947400,559800,15.758,16.23907852,160000,8
76,2947400,560200,15.604,16.24047279,160000,8
77,2947400,560600,15.713,16.24220085,160000,8
78,2947400,561000,15.749,16.24358177,160000,8
79,2947400,561400,15.814,16.24506378,160000,8
80,2947400,561800,15.882,16.24663544,160000,9
81,2947400,562200,15.893,16.24866295,160000,9
82,2947400,562600,15.844,16.25029755,160000,9
83,2947400,563000,15.876,16.25191879,160000,9
84,2947400,563400,15.736,16.25390434,160000,10
85,2947400,563800,15.62,16.25545502,160000,10
86,2947400,564200,15.534,16.25697708,160000,10
87,2947400,564600,15.412,16.2584877,160000,10
88,2947400,565000,15.389,16.26039886,160000,10
89,2947000,559400,15.342,16.24341583,160000,7
90,2947000,559800,15.689,16.24495316,160000,8
91,2947000,560200,15.659,16.24648285,160000,8
92,2947000,560600,15.535,16.24837494,160000,8
93,2947000,561000,15.735,16.24988365,160000,8
94,2947000,561400,15.85,16.25149727,160000,8
95,2947000,561800,15.871,16.25320244,160000,9
96,2947000,562200,15.88,16.25538445,160000,9
97,2947000,562600,15.914,16.25712776,160000,9
98,2947000,563000,15.872,16.25883484,160000,9
99,2947000,563400,15.772,16.26089096,160000,10
100,2947000,563800,15.706,16.26246643,160000,10
101,2947000,564200,15.604,16.26398277,160000,10
102,2947000,564600,15.411,16.26545906,160000,10
103,2947000,565000,15.433,16.26729012,160000,10
104,2947000,565400,15.41,16.26879501,160000,11
105,2946600,559000,15.576,16.24878883,160000,7
