"GridNo","Yutm","Xutm","elev_ft_NG","StgJan05","Area","Distr_Pixel"
1,2950400,561600,15.3496666666667,16.18953995,480000,2
2,2950400,562400,15.2145,16.1894179025,640000,2
3,2950400,563200,15.252,16.19457245,160000,2
4,2949600,560800,16.143,16.200654985,320000,1
5,2949600,561600,15.63525,16.2018380175,640000,2
6,2949600,562400,15.37575,16.2037153275,640000,2
7,2949600,563200,15.3723333333333,16.20755005,480000,2
8,2948800,560000,16.286,16.21568108,160000,4
9,2948800,560800,16.0125,16.21381664,640000,4
10,2948800,561600,15.79975,16.2158498775,640000,5
11,2948800,562400,15.5965,16.2182068825,640000,5
12,2948800,563200,15.43175,16.2211346625,640000,5
13,2948800,564000,15.759,16.22687912,160000,6
14,2948000,560000,15.9003333333333,16.2266674066667,480000,4
15,2948000,560800,15.85025,16.227458,640000,4
16,2948000,561600,15.8555,16.2300596225,640000,5
17,2948000,562400,15.7335,16.232908725,640000,5
18,2948000,563200,15.459,16.236133575,640000,5
19,2948000,564000,15.6096666666667,16.24040095,480000,6
20,2947200,559200,15.9435,16.23611736,320000,7
21,2947200,560000,15.65825,16.2382693275,640000,8
22,2947200,560800,15.759,16.2411179525,640000,8
23,2947200,561600,15.8815,16.24430561,640000,9
24,2947200,562400,15.84725,16.2476482375,640000,9
25,2947200,563200,15.65125,16.2511558525,640000,9
26,2947200,564000,15.417,16.254211425,640000,10
27,2947200,564800,15.389,16.26039886,160000,10
28,2946400,558400,15.576,16.24878883,160000,7
29,2946400,559200,15.56125,16.2477679275,640000,7
30,2946400,560000,15.59325,16.2511892325,640000,8
31,2946400,560800,15.80275,16.254624845,640000,8
32,2946400,561600,15.8845,16.25839949,640000,9
33,2946400,562400,15.87,16.2622270575,640000,9
34,2946400,563200,15.773,16.2660012225,640000,9
35,2946400,564000,15.56725,16.269034385,640000,10
36,2946400,564800,15.44575,16.2722644825,640000,10
37,2946400,565600,15.165,16.27863312,160000,11
38,2945600,558400,15.5086666666667,16.2569637333333,480000,7
39,2945600,559200,15.644,16.2597584725,640000,7
40,2945600,560000,15.676,16.263778685,640000,8
41,2945600,560800,15.88175,16.267796995,640000,8
42,2945600,561600,15.964,16.27214241,640000,9
43,2945600,562400,15.9305,16.2764325125,640000,9
44,2945600,563200,15.923,16.2804565425,640000,9
45,2945600,564000,15.71275,16.2834520325,640000,10
