"GridNo","Yutm","Xutm","elev_ft_NG","StgJan05","Area","Distr_Pixel"
1,2949600,560000,16.143,16.200654985,320000,1
2,2949600,561600,15.3967333333333,16.1965669893333,2400000,2
3,2949600,563200,15.34225,16.20430565,640000,2
4,2948000,560000,15.9531666666667,16.2217318216667,1920000,4
5,2948000,561600,15.7463125,16.224256276875,2560000,5
6,2948000,563200,15.5125833333333,16.2314295766667,1920000,5
7,2946400,558400,15.6725714285714,16.2445850371429,1120000,7
8,2946400,560000,15.7033125,16.246300339375,2560000,8
9,2946400,561600,15.8708125,16.25314509875,2560000,9
10,2946400,563200,15.602125,16.26010072125,2560000,9
11,2946400,564800,15.3895,16.2713483183333,960000,10
12,2944800,556800,15.3056666666667,16.26336797,480000,12
13,2944800,558400,15.6354,16.2640832273333,2400000,12
14,2944800,560000,15.825625,16.271945834375,2560000,13
15,2944800,561600,15.9685625,16.280951380625,2560000,14
16,2944800,563200,15.8453125,16.288814185625,2560000,14
17,2944800,564800,15.5412666666667,16.294710922,2400000,15
18,2944800,566400,15.437,16.3048578,1120000,16
19,2943200,556800,15.2806153846154,16.2755913353846,2080000,20
20,2943200,558400,15.8713125,16.284263610625,2560000,21
21,2943200,560000,16.0341875,16.294914959375,2560000,22
22,2943200,561600,15.9541875,16.305658220625,2560000,23
23,2943200,563200,15.7308125,16.314028383125,2560000,23
24,2943200,564800,15.5214375,16.3179301025,2560000,24
25,2943200,566400,15.2295625,16.320791720625,2560000,25
26,2943200,568000,14.9755,16.3235468866667,1920000,26
27,2943200,569600,14.982,16.317331315,320000,27
28,2941600,555200,15.01475,16.2814409725,1280000,19
29,2941600,556800,15.5629375,16.287626505,2560000,20
30,2941600,558400,15.876,16.299192428125,2560000,21
31,2941600,560000,16.123875,16.311691880625,2560000,22
32,2941600,561600,16.1195,16.324424625,2560000,23
33,2941600,563200,15.691125,16.332867264375,2560000,23
34,2941600,564800,15.666625,16.333939195,2560000,24
35,2941600,566400,15.3618125,16.331992745625,2560000,25
36,2941600,568000,15.2019375,16.32585108375,2560000,36
37,2941600,569600,15.1580666666667,16.3048692053333,2400000,37
38,2941600,571200,15.0793333333333,16.2661914816667,960000,38
39,2940000,555200,15.1981875,16.29834294375,2560000,29
40,2940000,556800,15.73725,16.300633906875,2560000,30
41,2940000,558400,15.8244375,16.30886519,2560000,31
42,2940000,560000,15.992875,16.32068657875,2560000,32
43,2940000,561600,15.9359375,16.334425568125,2560000,33
44,2940000,563200,15.850625,16.34191978,2560000,33
45,2940000,564800,15.7721875,16.338390826875,2560000,34
46,2940000,566400,15.568625,16.3298283825,2560000,35
47,2940000,568000,15.566125,16.313987136875,2560000,36
48,2940000,569600,15.5206875,16.282984614375,2560000,37
49,2940000,571200,15.311,16.2377770733333,2400000,38
50,2940000,572800,15.519,16.1990737933333,480000,38
51,2938400,555200,14.7975,16.334885120625,2560000,40
52,2938400,556800,15.51275,16.322322011875,2560000,41
53,2938400,558400,15.81325,16.31954503125,2560000,42
54,2938400,560000,15.8571875,16.324391841875,2560000,43
55,2938400,561600,15.7375625,16.3349813225,2560000,44
56,2938400,563200,15.6273125,16.34020698,2560000,44
57,2938400,564800,15.561,16.33211517375,2560000,45
58,2938400,566400,15.39225,16.317268490625,2560000,46
59,2938400,568000,15.369125,16.292901278125,2560000,47
60,2938400,569600,15.4284375,16.255083441875,2560000,48
61,2938400,571200,15.242125,16.21203136375,2560000,49
62,2938400,572800,15.2068461538462,16.1802871407692,2080000,49
63,2936800,555200,14.491125,16.381476521875,2560000,52
64,2936800,556800,15.2800625,16.34959900375,2560000,53
65,2936800,558400,15.7011875,16.330103395625,2560000,54
66,2936800,560000,15.741375,16.322647215,2560000,55
67,2936800,561600,15.70875,16.326776028125,2560000,56
68,2936800,563200,15.8415625,16.330073713125,2560000,56
69,2936800,564800,15.625875,16.319288849375,2560000,57
70,2936800,566400,15.4821875,16.3000850675,2560000,58
71,2936800,568000,15.4130625,16.27041017875,2560000,59
72,2936800,569600,15.4526875,16.2290226225,2560000,60
73,2936800,571200,15.331125,16.189388631875,2560000,61
74,2936800,572800,15.2531875,16.165739894375,2560000,61
75,2936800,574400,15.2921111111111,16.1601168311111,1440000,62
76,2935200,555200,14.4556875,16.42118609,2560000,64
77,2935200,556800,15.2213125,16.37168335875,2560000,65
78,2935200,558400,15.5464375,16.335439683125,2560000,66
79,2935200,560000,15.6109375,16.314690113125,2560000,67
80,2935200,561600,15.549375,16.311513661875,2560000,68
81,2935200,563200,15.5034375,16.314001203125,2560000,68
82,2935200,564800,15.5125,16.3032662875,2560000,69
83,2935200,566400,15.475375,16.2825951575,2560000,70
84,2935200,568000,15.4209375,16.251946091875,2560000,71
85,2935200,569600,15.505,16.211096763125,2560000,72
86,2935200,571200,15.3413125,16.175240755625,2560000,73
87,2935200,572800,15.311875,16.15741038375,2560000,73
88,2935200,574400,15.1914375,16.158231735,2560000,74
89,2935200,576000,15.1695,16.167384145,320000,75
90,2933600,555200,14.4419375,16.4656468625,2560000,64
91,2933600,556800,15.2429375,16.39395976,2560000,65
92,2933600,558400,15.5538125,16.33855187875,2560000,66
93,2933600,560000,15.4994375,16.3036196225,2560000,80
94,2933600,561600,15.592125,16.292795301875,2560000,81
95,2933600,563200,15.5849375,16.295062065,2560000,81
96,2933600,564800,15.5226875,16.28666746625,2560000,82
97,2933600,566400,15.482875,16.267147899375,2560000,83
98,2933600,568000,15.4579375,16.238805651875,2560000,84
99,2933600,569600,15.4531875,16.201515196875,2560000,85
100,2933600,571200,15.4865625,16.1696364875,2560000,86
101,2933600,572800,15.363125,16.155053854375,2560000,86
102,2933600,574400,15.1835,16.15731668375,2560000,87
103,2933600,576000,15.1436666666667,16.1709266244444,1440000,88
104,2932000,555200,14.5110625,16.47602295875,2560000,77
105,2932000,556800,15.2273125,16.385270358125,2560000,78
106,2932000,558400,15.375375,16.318470835625,2560000,79
107,2932000,560000,15.4323125,16.279392718125,2560000,80
108,2932000,561600,15.3976875,16.27073597875,2560000,81
109,2932000,563200,15.4886875,16.2784861325,2560000,81
110,2932000,564800,15.3855625,16.274493336875,2560000,82
111,2932000,566400,15.4905625,16.257354616875,2560000,83
112,2932000,568000,15.4190625,16.23216486,2560000,84
113,2932000,569600,15.3619375,16.19890153375,2560000,85
114,2932000,571200,15.2704375,16.1700934175,2560000,86
115,2932000,572800,15.351,16.15663159,2560000,86
116,2932000,574400,15.2073125,16.158686041875,2560000,87
117,2932000,576000,15.206,16.1767530442857,2240000,88
118,2930400,555200,14.5569375,16.43030846125,2560000,90
119,2930400,556800,15.0874375,16.3320624825,2560000,91
120,2930400,558400,15.309875,16.269225716875,2560000,92
121,2930400,560000,15.4079375,16.241517305,2560000,93
122,2930400,561600,15.30525,16.24788499,2560000,94
123,2930400,563200,15.3490625,16.266865611875,2560000,94
124,2930400,564800,15.2574375,16.267454266875,2560000,95
125,2930400,566400,15.3543125,16.252441048125,2560000,96
126,2930400,568000,15.3339375,16.2299475675,2560000,97
127,2930400,569600,15.407125,16.20072972875,2560000,98
128,2930400,571200,15.2503125,16.1751929525,2560000,99
129,2930400,572800,15.1785,16.162778855,2560000,99
130,2930400,574400,15.2359375,16.1650635,2560000,100
131,2930400,576000,15.0924375,16.185127616875,2560000,101
132,2928800,555200,14.527375,16.343889116875,2560000,103
133,2928800,556800,14.909,16.250677109375,2560000,104
134,2928800,558400,15.0525,16.204238056875,2560000,105
135,2928800,560000,15.2496875,16.197230696875,2560000,106
136,2928800,561600,15.2418125,16.2248146525,2560000,107
137,2928800,563200,15.4409375,16.25748455625,2560000,107
138,2928800,564800,15.4455625,16.2624533175,2560000,108
139,2928800,566400,15.4185625,16.249157549375,2560000,109
140,2928800,568000,15.54325,16.229093670625,2560000,110
141,2928800,569600,15.344375,16.204357266875,2560000,111
142,2928800,571200,15.351375,16.183179378125,2560000,112
143,2928800,572800,15.3384375,16.17299366,2560000,112
144,2928800,574400,15.1228125,16.17665088125,2560000,113
145,2928800,576000,14.811,16.19708716875,2560000,114
146,2927200,555200,14.3104285714286,16.2446703228571,2240000,116
147,2927200,556800,14.7039375,16.16892254375,2560000,117
148,2927200,558400,14.9538125,16.144213675625,2560000,118
149,2927200,560000,15.03775,16.1584872,2560000,119
150,2927200,561600,14.96475,16.204885124375,2560000,120
151,2927200,563200,15.176625,16.24809408125,2560000,120
152,2927200,564800,15.4053125,16.256555676875,2560000,121
153,2927200,566400,15.4726875,16.246921300625,2560000,122
154,2927200,568000,15.5901875,16.23196351625,2560000,123
155,2927200,569600,15.1635625,16.211495280625,2560000,124
156,2927200,571200,15.1149375,16.189837933125,2560000,125
157,2927200,572800,15.2510625,16.17496192375,2560000,125
158,2927200,574400,15.0041875,16.1729029425,2560000,126
159,2927200,576000,14.8565625,16.18725323625,2560000,127
