"GridNo","Yutm","Xutm","elev_ft_NG","StgJan05","Area","Distr_Pixel"
160,2925600,555200,14.5225,16.15070677,640000,116
161,2925600,556800,14.6195625,16.107972145,2560000,129
162,2925600,558400,14.709625,16.104022979375,2560000,130
163,2925600,560000,14.7679375,16.135031580625,2560000,131
164,2925600,561600,14.7420625,16.192803264375,2560000,132
165,2925600,563200,15.0425,16.239761591875,2560000,132
166,2925600,564800,15.3,16.250376583125,2560000,133
167,2925600,566400,15.4483125,16.2462239275,2560000,134
168,2925600,568000,15.6043125,16.23669946125,2560000,135
169,2925600,569600,15.1121875,16.21377730375,2560000,136
170,2925600,571200,14.99725,16.175567030625,2560000,137
171,2925600,572800,15.1591875,16.1355040075,2560000,137
172,2925600,574400,15.0375625,16.10750365375,2560000,138
173,2925600,576000,15.1088461538462,16.1025026753846,2080000,139
174,2924000,556800,14.80825,16.08176374375,1280000,129
175,2924000,558400,14.55125,16.0930551275,2560000,130
176,2924000,560000,14.6129375,16.129847883125,2560000,131
177,2924000,561600,14.6945625,16.1868685475,2560000,131
178,2924000,563200,14.9065625,16.231289148125,2560000,132
179,2924000,564800,15.2083125,16.245472670625,2560000,133
180,2924000,566400,15.1976875,16.246738909375,2560000,134
181,2924000,568000,15.1569375,16.236580968125,2560000,135
182,2924000,569600,15.219875,16.1971596475,2560000,136
183,2924000,571200,15.1369375,16.1231724025,2560000,137
184,2924000,572800,15.0748125,16.03755021,2560000,137
185,2924000,574400,14.9755625,15.96480995375,2560000,138
186,2924000,576000,15.032,15.9326924222222,1440000,139
187,2922400,558400,14.2509230769231,16.1134360384615,2080000,141
188,2922400,560000,14.2100625,16.1459602125,2560000,142
189,2922400,561600,14.435125,16.189345715,2560000,142
190,2922400,563200,14.7624375,16.224272013125,2560000,143
191,2922400,564800,15.132375,16.244060994375,2560000,144
192,2922400,566400,15.2831875,16.251427291875,2560000,145
193,2922400,568000,14.9098125,16.232973695,2560000,146
194,2922400,569600,15.2230625,16.16236257625,2560000,147
195,2922400,571200,14.8811875,16.03988814375,2560000,148
196,2922400,572800,15.036,15.90097510875,2560000,148
197,2922400,574400,14.9428125,15.779400169375,2560000,149
198,2922400,576000,14.726,15.729347226,8e+05,150
199,2920800,558400,13.796,16.151584625,320000,141
200,2920800,560000,14.0540666666667,16.176400376,2400000,151
201,2920800,561600,14.174125,16.200120568125,2560000,151
202,2920800,563200,14.3324375,16.2211241725,2560000,152
203,2920800,564800,14.6090625,16.247853518125,2560000,153
204,2920800,566400,15.1698125,16.263255,2560000,154
205,2920800,568000,15.1510625,16.232742428125,2560000,155
206,2920800,569600,15.4189375,16.1270257225,2560000,156
207,2920800,571200,14.982875,15.962945401875,2560000,157
208,2920800,572800,14.8625625,15.787113129375,2560000,157
209,2920800,574400,14.7665,15.636119365,2560000,158
210,2920800,576000,14.514,15.61125755,160000,159
211,2919200,560000,13.4817142857143,16.2089552185714,1120000,160
212,2919200,561600,13.8518125,16.21289992375,2560000,160
213,2919200,563200,14.017625,16.219135164375,2560000,161
214,2919200,564800,14.097625,16.2562216525,2560000,162
215,2919200,566400,14.48725,16.2836986775,2560000,163
216,2919200,568000,14.961,16.237645626875,2560000,164
217,2919200,569600,15.5655,16.089578925625,2560000,165
218,2919200,571200,15.27325,15.883424698125,2560000,166
219,2919200,572800,15.0280625,15.677329479375,2560000,166
220,2919200,574400,14.7709375,15.505995273125,2560000,167
221,2917600,561600,13.1258181818182,16.2184432636364,1760000,169
222,2917600,563200,13.3154375,16.218981504375,2560000,169
223,2917600,564800,13.581125,16.2699197525,2560000,170
224,2917600,566400,13.902375,16.310666441875,2560000,171
225,2917600,568000,14.4698125,16.24241268625,2560000,172
226,2917600,569600,15.141,16.042369604375,2560000,173
227,2917600,571200,15.4028125,15.792325079375,2560000,174
228,2917600,572800,14.8645,15.55951333,2560000,174
229,2917600,574400,14.5116,15.3790049866667,2400000,175
230,2916000,563200,11.79,16.222233295,640000,169
231,2916000,564800,12.3741111111111,16.2876625066667,1440000,170
232,2916000,566400,13.1361428571429,16.3317896978571,2240000,171
233,2916000,568000,13.752125,16.234136105,2560000,172
234,2916000,569600,14.3299375,15.97947835875,2560000,173
235,2916000,571200,14.4586666666667,15.7050248775,1920000,174
236,2916000,572800,14.2635,15.4545747441667,1920000,174
237,2916000,574400,14.09625,15.316230775,640000,175
238,2914400,568000,12.4363333333333,16.1917610166667,480000,177
239,2914400,569600,12.99875,15.983715535,640000,177
