NA,NA,1,2,NA,NA,4,5,6,NA,NA,NA,8,9,10,11,12,NA,14,15,16,17,18,NA,NA,20,21,22,23,24,25,NA,27,28,29,30,31,32,NA,34,35,36,37,38,39,NA,41,42,43,44,45,46,NA,49,50,51,52,53,NA,56,57,58,59,NA,63
2,NA,4,5,6,NA,8,9,10,11,12,NA,14,15,16,17,18,NA,20,21,22,23,24,25,NA,27,28,29,30,31,32,NA,34,35,36,37,38,39,NA,41,42,43,44,45,46,NA,48,49,50,51,52,53,NA,55,56,57,58,59,NA,61,62,63,64,NA,NA
5,6,8,9,10,11,14,15,16,17,18,NA,20,21,22,23,24,25,27,28,29,30,31,32,NA,34,35,36,37,38,39,NA,41,42,43,44,45,46,NA,48,49,50,51,52,53,NA,54,55,56,57,58,59,NA,60,61,62,63,64,NA,NA,65,NA,NA,NA,NA
4,5,7,8,9,10,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,NA,54,55,56,57,58,59,NA,60,61,62,63,64,NA,NA,65,NA,NA,NA
3,4,NA,7,8,9,NA,13,14,15,16,17,NA,19,20,21,22,23,NA,26,27,28,29,30,31,NA,33,34,35,36,37,38,NA,40,41,42,43,44,45,NA,47,48,49,50,51,52,NA,NA,54,55,56,57,58,NA,NA,60,61,62,63,NA,NA,NA,65,NA,NA
NA,1,NA,3,4,5,NA,7,8,9,10,11,NA,13,14,15,16,17,NA,19,20,21,22,23,24,NA,26,27,28,29,30,31,NA,33,34,35,36,37,38,NA,40,41,42,43,44,45,NA,47,48,49,50,51,52,NA,54,55,56,57,58,NA,60,61,62,63,NA
NA,NA,NA,NA,1,2,NA,3,4,5,6,NA,NA,7,8,9,10,11,NA,13,14,15,16,17,18,NA,19,20,21,22,23,24,NA,26,27,28,29,30,31,NA,33,34,35,36,37,38,NA,40,41,42,43,44,45,47,48,49,50,51,52,54,55,56,57,58,61
NA,NA,NA,1,2,NA,3,4,5,6,NA,NA,7,8,9,10,11,12,13,14,15,16,17,18,NA,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,51,52,53,55,56,57,58,59,62
